GHI,DNI,DHI,Temperature,Tilted Irradiance (Adjusted)
683,405,349,15.8,683.4801586214974
0,0,0,10.9,0.0
384,834,59,10.7,650.6912864609783
91,485,33,13.7,371.16568630987774
77,385,33,15.9,290.74427433840657
0,0,0,22.200000000000003,0.0
598,404,273,28.4,578.6638856851622
179,426,73,11.6,334.0506878037592
757,812,123,25.8,818.5596464179839
513,792,91,15.2,721.5610578894969
573,831,86,28.4,776.9058135268758
0,0,0,-6.5,0.0
33,25,30,3.7,40.48289754654412
577,925,70,11.7,863.1319315367228
0,0,0,23.8,0.0
42,17,40,12.0,44.44568646743132
98,296,52,21.0,209.10415566342024
0,0,0,2.8000000000000003,0.0
225,452,81,25.200000000000003,364.30277954729513
0,0,0,5.4,0.0
0,0,0,5.9,0.0
215,280,118,26.3,311.908141907793
75,47,67,-3.8,94.65356815341308
0,0,0,12.5,0.0
167,171,115,5.1000000000000005,229.6350870516337
3,18,3,4.6000000000000005,14.317180356326476
29,0,29,21.9,24.35006577691007
0,0,0,-1.6,0.0
19,4,19,26.8,18.077134728235
938,809,177,19.5,872.5894277797081
620,381,326,15.4,641.4665024007869
221,226,138,23.0,294.7990550021683
0,0,0,22.0,0.0
416,845,62,18.5,755.1771896759207
148,1,147,13.5,129.53705764793548
0,0,0,-0.1,0.0
0,0,0,-5.2,0.0
0,0,0,20.6,0.0
42,8,39,8.9,40.41706464904215
0,0,0,14.9,0.0
114,18,108,1.0,114.31768674803546
0,0,0,-1.5,0.0
70,74,58,26.200000000000003,97.09131379619888
887,888,115,21.5,900.3591444354528
0,0,0,0.3,0.0
0,0,0,1.4,0.0
734,895,112,8.1,941.2839812287592
0,0,0,22.3,0.0
899,711,225,24.200000000000003,803.6507752735064
0,0,0,3.9,0.0
0,0,0,2.8000000000000003,0.0
3,4,3,14.7,4.400844479998161
0,0,0,7.4,0.0
0,0,0,-5.300000000000001,0.0
63,48,55,-5.1000000000000005,83.62935624358528
0,0,0,15.1,0.0
0,0,0,6.9,0.0
0,0,0,-3.1,0.0
10,0,10,1.7000000000000002,9.243264309308838
711,932,91,7.9,967.3608082399214
0,0,0,8.1,0.0
0,0,0,17.7,0.0
10,106,9,7.7,49.87670167989719
0,0,0,19.6,0.0
299,260,184,6.300000000000001,388.4958144230405
916,896,113,25.700000000000003,894.2912918748704
216,399,96,25.4,376.28072703594086
0,0,0,3.9,0.0
0,0,0,12.6,0.0
0,0,0,5.9,0.0
147,26,136,3.1,146.4905210671398
0,0,0,19.3,0.0
0,0,0,20.200000000000003,0.0
0,0,0,-4.0,0.0
0,0,0,0.5,0.0
0,0,0,-1.4,0.0
0,0,0,2.5,0.0
211,669,51,7.2,470.50141423407655
0,0,0,2.1,0.0
47,2,47,17.6,41.73195295815438
0,0,0,3.9,0.0
469,180,336,20.5,449.41851913313496
0,0,0,-10.7,0.0
70,0,70,15.7,60.59514667304195
648,698,159,25.8,728.7707201942889
778,805,160,10.4,911.7895977864124
797,904,120,8.6,975.2847127613124
0,0,0,-2.5,0.0
124,1,123,28.200000000000003,100.91370167074813
86,260,47,17.400000000000002,221.17731395081748
0,0,0,14.1,0.0
328,253,204,14.9,374.93637392212895
0,0,0,4.4,0.0
0,0,0,15.0,0.0
19,5,19,18.6,19.47640128914161
264,216,171,3.0,344.4828538145315
675,888,80,22.200000000000003,868.7548305436616
103,69,80,24.6,119.5698819251034
217,561,63,23.4,467.3388661313389
716,374,388,15.4,687.5802182594657
0,0,0,19.4,0.0
436,856,68,6.300000000000001,745.6292640032547
0,0,0,0.5,0.0
862,816,154,17.7,894.0082976548725
0,0,0,22.6,0.0
0,0,0,24.3,0.0
0,0,0,6.1000000000000005,0.0
4,38,5,2.2,28.883699773845
0,0,0,23.0,0.0
274,14,261,22.8,230.7488506291741
0,0,0,13.4,0.0
0,0,0,0.5,0.0
0,0,0,5.0,0.0
437,667,99,30.5,624.263043562629
0,0,0,22.0,0.0
0,0,0,-9.7,0.0
0,0,0,20.5,0.0
420,852,70,-1.9,783.521154894453
517,913,67,6.300000000000001,888.8565864705363
93,3,92,6.7,85.6234935421916
0,0,0,2.6,0.0
0,0,0,13.6,0.0
43,0,43,10.3,38.19600719187908
0,0,0,-4.1000000000000005,0.0
0,0,0,0.5,0.0
15,0,15,5.9,13.600829810898404
406,836,78,-5.5,774.0789536618896
0,0,0,7.300000000000001,0.0
0,0,0,2.5,0.0
2,13,3,9.9,10.159125959397574
96,5,93,12.0,86.22856050534892
0,0,0,7.1000000000000005,0.0
267,46,238,24.4,235.57623902966372
118,30,106,23.200000000000003,109.0951477465998
140,2,139,4.5,128.7201720831218
8,48,8,13.5,28.77628197064208
229,18,218,1.8,218.16718734472812
0,0,0,15.9,0.0
0,0,0,4.6000000000000005,0.0
0,0,0,-0.5,0.0
393,649,98,23.6,564.934555157897
0,0,0,16.5,0.0
958,886,135,21.0,906.1783942190108
0,0,0,20.8,0.0
17,4,17,-0.7000000000000001,17.914363437159658
0,0,0,6.7,0.0
388,828,65,2.4000000000000004,728.7127059922631
0,0,0,7.1000000000000005,0.0
773,459,358,21.1,722.9374066463032
0,0,0,14.0,0.0
0,0,0,-8.200000000000001,0.0
674,812,123,14.1,836.3854290989553
0,0,0,2.8000000000000003,0.0
319,54,283,2.4000000000000004,312.57846146940864
0,0,0,-1.8,0.0
0,0,0,12.6,0.0
285,611,73,22.200000000000003,478.5118074664298
735,697,172,26.9,761.0937760363009
0,0,0,20.5,0.0
0,0,0,2.0,0.0
0,0,0,2.4000000000000004,0.0
0,0,0,6.6000000000000005,0.0
0,0,0,9.7,0.0
0,0,0,8.200000000000001,0.0
63,10,60,14.6,58.32211755801436
76,0,76,13.0,66.64911920071391
743,428,358,26.5,672.136965087385
572,916,68,16.7,864.9087375502154
0,0,0,1.6,0.0
87,0,87,24.9,71.95620691089012
692,888,106,4.4,934.0541411922584
2,3,2,0.8,3.7427945056534937
68,1,68,8.700000000000001,61.63837985502487
0,0,0,-5.4,0.0
87,0,87,7.7,78.2284186513067
0,0,0,14.8,0.0
0,0,0,7.300000000000001,0.0
0,0,0,-2.9000000000000004,0.0
300,429,132,2.5,469.9795675608123
149,23,140,17.7,136.16698073809246
0,0,0,18.5,0.0
279,679,63,18.7,490.2481959205896
0,0,0,9.6,0.0
0,0,0,-2.0,0.0
126,581,40,0.6000000000000001,471.7273335855966
